INSTRUMENTID,STRIKECLOSEFEERATIO,TRADEFEERATIO,STRIKEFEEUNIT,EXCHANGEID,STRADEUNITMARGIN,HTRADEUNITMARGIN,TRADINGDAY,STRIKEFEERATIO,PRODUCTID,HTRADEFEERATIO,DISCOUNTRATE,TRADEFEEUNIT,SETTLEMENTPRICE,STRIKECLOSEFEEUNIT,SETTLEMENTGROUPID,HTRADEFEEUNIT,trade_date
sc2511C485,0,0,10,SHFE,46107,41420,20251009,0,sc_o,0,0,10,2.7,0,00000001,5,20251009
sc2511C490,0,0,10,SHFE,42657,37970,20251009,0,sc_o,0,0,10,1.75,0,00000001,5,20251009
sc2511C495,0,0,10,SHFE,39557,34870,20251009,0,sc_o,0,0,10,1.15,0,00000001,5,20251009
sc2511C500,0,0,10,SHFE,36607,31920,20251009,0,sc_o,0,0,10,0.7,0,00000001,5,20251009
sc2511C510,0,0,10,SHFE,31107,26420,20251009,0,sc_o,0,0,10,0.2,0,00000001,5,20251009
sc2511C520,0,0,10,SHFE,25957,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C530,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C540,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C550,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C560,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C570,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C580,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511C590,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P390,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P395,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P400,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P405,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P410,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P415,0,0,10,SHFE,25828.5,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P420,0,0,10,SHFE,27257,23485,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P425,0,0,10,SHFE,29757,25070,20251009,0,sc_o,0,0,10,0.05,0,00000001,5,20251009
sc2511P430,0,0,10,SHFE,32407,27720,20251009,0,sc_o,0,0,10,0.2,0,00000001,5,20251009
sc2511P435,0,0,10,SHFE,35057,30370,20251009,0,sc_o,0,0,10,0.35,0,00000001,5,20251009
sc2511P440,0,0,10,SHFE,37907,33220,20251009,0,sc_o,0,0,10,0.7,0,00000001,5,20251009
sc2511P445,0,0,10,SHFE,40907,36220,20251009,0,sc_o,0,0,10,1.2,0,00000001,5,20251009
sc2511P450,0,0,10,SHFE,44207,39520,20251009,0,sc_o,0,0,10,2,0,00000001,5,20251009
sc2511P455,0,0,10,SHFE,47807,43120,20251009,0,sc_o,0,0,10,3.1,0,00000001,5,20251009
sc2511P460,0,0,10,SHFE,51807,47120,20251009,0,sc_o,0,0,10,4.6,0,00000001,5,20251009
sc2511P465,0,0,10,SHFE,56307,51620,20251009,0,sc_o,0,0,10,6.6,0,00000001,5,20251009
sc2511P470,0,0,10,SHFE,60557,55870,20251009,0,sc_o,0,0,10,9,0,00000001,5,20251009
sc2511P475,0,0,10,SHFE,63457,58770,20251009,0,sc_o,0,0,10,11.9,0,00000001,5,20251009
sc2511P480,0,0,10,SHFE,66807,62120,20251009,0,sc_o,0,0,10,15.25,0,00000001,5,20251009
sc2511P485,0,0,10,SHFE,70557,65870,20251009,0,sc_o,0,0,10,19,0,00000001,5,20251009
sc2511P490,0,0,10,SHFE,74607,69920,20251009,0,sc_o,0,0,10,23.05,0,00000001,5,20251009
sc2511P495,0,0,10,SHFE,79007,74320,20251009,0,sc_o,0,0,10,27.45,0,00000001,5,20251009
sc2511P500,0,0,10,SHFE,83557,78870,20251009,0,sc_o,0,0,10,32,0,00000001,5,20251009
sc2511P510,0,0,10,SHFE,93057,88370,20251009,0,sc_o,0,0,10,41.5,0,00000001,5,20251009
sc2511P520,0,0,10,SHFE,102907,98220,20251009,0,sc_o,0,0,10,51.35,0,00000001,5,20251009
sc2511P530,0,0,10,SHFE,112857,108170,20251009,0,sc_o,0,0,10,61.3,0,00000001,5,20251009
sc2511P540,0,0,10,SHFE,122857,118170,20251009,0,sc_o,0,0,10,71.3,0,00000001,5,20251009
sc2511P550,0,0,10,SHFE,132857,128170,20251009,0,sc_o,0,0,10,81.3,0,00000001,5,20251009
sc2511P560,0,0,10,SHFE,142857,138170,20251009,0,sc_o,0,0,10,91.3,0,00000001,5,20251009
sc2511P570,0,0,10,SHFE,152857,148170,20251009,0,sc_o,0,0,10,101.3,0,00000001,5,20251009
sc2511P580,0,0,10,SHFE,162857,158170,20251009,0,sc_o,0,0,10,111.3,0,00000001,5,20251009
sc2511P590,0,0,10,SHFE,172857,168170,20251009,0,sc_o,0,0,10,121.3,0,00000001,5,20251009
sc2512C395,0,0,10,SHFE,128754,124040,20251009,0,sc_o,0,0,10,76.9,0,00000001,5,20251009
sc2512C400,0,0,10,SHFE,123954,119240,20251009,0,sc_o,0,0,10,72.1,0,00000001,5,20251009
sc2512C405,0,0,10,SHFE,119254,114540,20251009,0,sc_o,0,0,10,67.4,0,00000001,5,20251009
sc2512C410,0,0,10,SHFE,114654,109940,20251009,0,sc_o,0,0,10,62.8,0,00000001,5,20251009
sc2512C415,0,0,10,SHFE,110104,105390,20251009,0,sc_o,0,0,10,58.25,0,00000001,5,20251009
sc2512C420,0,0,10,SHFE,105704,100990,20251009,0,sc_o,0,0,10,53.85,0,00000001,5,20251009
sc2512C425,0,0,10,SHFE,101404,96690,20251009,0,sc_o,0,0,10,49.55,0,00000001,5,20251009
sc2512C430,0,0,10,SHFE,97254,92540,20251009,0,sc_o,0,0,10,45.4,0,00000001,5,20251009
sc2512C435,0,0,10,SHFE,93254,88540,20251009,0,sc_o,0,0,10,41.4,0,00000001,5,20251009
sc2512C440,0,0,10,SHFE,89454,84740,20251009,0,sc_o,0,0,10,37.6,0,00000001,5,20251009
sc2512C445,0,0,10,SHFE,85854,81140,20251009,0,sc_o,0,0,10,34,0,00000001,5,20251009
sc2512C450,0,0,10,SHFE,82454,77740,20251009,0,sc_o,0,0,10,30.6,0,00000001,5,20251009
sc2512C455,0,0,10,SHFE,79204,74490,20251009,0,sc_o,0,0,10,27.35,0,00000001,5,20251009
sc2512C460,0,0,10,SHFE,76204,71490,20251009,0,sc_o,0,0,10,24.35,0,00000001,5,20251009
sc2512C465,0,0,10,SHFE,73404,68690,20251009,0,sc_o,0,0,10,21.55,0,00000001,5,20251009
sc2512C470,0,0,10,SHFE,70854,66140,20251009,0,sc_o,0,0,10,19,0,00000001,5,20251009
sc2512C475,0,0,10,SHFE,66704,61990,20251009,0,sc_o,0,0,10,16.65,0,00000001,5,20251009
sc2512C480,0,0,10,SHFE,62054,57340,20251009,0,sc_o,0,0,10,14.5,0,00000001,5,20251009
sc2512C485,0,0,10,SHFE,57604,52890,20251009,0,sc_o,0,0,10,12.55,0,00000001,5,20251009
sc2512C490,0,0,10,SHFE,53404,48690,20251009,0,sc_o,0,0,10,10.85,0,00000001,5,20251009
sc2512C495,0,0,10,SHFE,49354,44640,20251009,0,sc_o,0,0,10,9.3,0,00000001,5,20251009
sc2512C500,0,0,10,SHFE,45454,40740,20251009,0,sc_o,0,0,10,7.9,0,00000001,5,20251009
sc2512C510,0,0,10,SHFE,38204,33490,20251009,0,sc_o,0,0,10,5.65,0,00000001,5,20251009
sc2512C520,0,0,10,SHFE,31504,27520,20251009,0,sc_o,0,0,10,3.95,0,00000001,5,20251009
sc2512C530,0,0,10,SHFE,28627,26270,20251009,0,sc_o,0,0,10,2.7,0,00000001,5,20251009
sc2512C540,0,0,10,SHFE,27727,25370,20251009,0,sc_o,0,0,10,1.8,0,00000001,5,20251009
sc2512C550,0,0,10,SHFE,27127,24770,20251009,0,sc_o,0,0,10,1.2,0,00000001,5,20251009
sc2512C560,0,0,10,SHFE,26677,24320,20251009,0,sc_o,0,0,10,0.75,0,00000001,5,20251009
sc2512C570,0,0,10,SHFE,26377,24020,20251009,0,sc_o,0,0,10,0.45,0,00000001,5,20251009
sc2512C580,0,0,10,SHFE,26227,23870,20251009,0,sc_o,0,0,10,0.3,0,00000001,5,20251009
sc2512C590,0,0,10,SHFE,26077,23720,20251009,0,sc_o,0,0,10,0.15,0,00000001,5,20251009
sc2512P395,0,0,10,SHFE,26477,24120,20251009,0,sc_o,0,0,10,0.55,0,00000001,5,20251009
sc2512P400,0,0,10,SHFE,26727,24370,20251009,0,sc_o,0,0,10,0.8,0,00000001,5,20251009
sc2512P405,0,0,10,SHFE,26977,24620,20251009,0,sc_o,0,0,10,1.05,0,00000001,5,20251009
sc2512P410,0,0,10,SHFE,27377,25020,20251009,0,sc_o,0,0,10,1.45,0,00000001,5,20251009
sc2512P415,0,0,10,SHFE,27827,25470,20251009,0,sc_o,0,0,10,1.9,0,00000001,5,20251009
sc2512P420,0,0,10,SHFE,28654,26070,20251009,0,sc_o,0,0,10,2.5,0,00000001,5,20251009
sc2512P425,0,0,10,SHFE,31854,27140,20251009,0,sc_o,0,0,10,3.2,0,00000001,5,20251009
sc2512P430,0,0,10,SHFE,35204,30490,20251009,0,sc_o,0,0,10,4.05,0,00000001,5,20251009
sc2512P435,0,0,10,SHFE,38704,33990,20251009,0,sc_o,0,0,10,5.05,0,00000001,5,20251009
sc2512P440,0,0,10,SHFE,42404,37690,20251009,0,sc_o,0,0,10,6.25,0,00000001,5,20251009
sc2512P445,0,0,10,SHFE,46254,41540,20251009,0,sc_o,0,0,10,7.6,0,00000001,5,20251009
sc2512P450,0,0,10,SHFE,50354,45640,20251009,0,sc_o,0,0,10,9.2,0,00000001,5,20251009
sc2512P455,0,0,10,SHFE,54654,49940,20251009,0,sc_o,0,0,10,11,0,00000001,5,20251009
sc2512P460,0,0,10,SHFE,59104,54390,20251009,0,sc_o,0,0,10,12.95,0,00000001,5,20251009
sc2512P465,0,0,10,SHFE,63804,59090,20251009,0,sc_o,0,0,10,15.15,0,00000001,5,20251009
sc2512P470,0,0,10,SHFE,68754,64040,20251009,0,sc_o,0,0,10,17.6,0,00000001,5,20251009
sc2512P475,0,0,10,SHFE,72104,67390,20251009,0,sc_o,0,0,10,20.25,0,00000001,5,20251009
sc2512P480,0,0,10,SHFE,74954,70240,20251009,0,sc_o,0,0,10,23.1,0,00000001,5,20251009
sc2512P485,0,0,10,SHFE,78004,73290,20251009,0,sc_o,0,0,10,26.15,0,00000001,5,20251009
sc2512P490,0,0,10,SHFE,81254,76540,20251009,0,sc_o,0,0,10,29.4,0,00000001,5,20251009
sc2512P495,0,0,10,SHFE,84704,79990,20251009,0,sc_o,0,0,10,32.85,0,00000001,5,20251009
sc2512P500,0,0,10,SHFE,88354,83640,20251009,0,sc_o,0,0,10,36.5,0,00000001,5,20251009
sc2512P510,0,0,10,SHFE,96054,91340,20251009,0,sc_o,0,0,10,44.2,0,00000001,5,20251009
sc2512P520,0,0,10,SHFE,104354,99640,20251009,0,sc_o,0,0,10,52.5,0,00000001,5,20251009
sc2512P530,0,0,10,SHFE,113104,108390,20251009,0,sc_o,0,0,10,61.25,0,00000001,5,20251009
sc2512P540,0,0,10,SHFE,122204,117490,20251009,0,sc_o,0,0,10,70.35,0,00000001,5,20251009
sc2512P550,0,0,10,SHFE,131554,126840,20251009,0,sc_o,0,0,10,79.7,0,00000001,5,20251009
sc2512P560,0,0,10,SHFE,141154,136440,20251009,0,sc_o,0,0,10,89.3,0,00000001,5,20251009
sc2512P570,0,0,10,SHFE,150854,146140,20251009,0,sc_o,0,0,10,99,0,00000001,5,20251009
sc2512P580,0,0,10,SHFE,160654,155940,20251009,0,sc_o,0,0,10,108.8,0,00000001,5,20251009
sc2512P590,0,0,10,SHFE,170554,165840,20251009,0,sc_o,0,0,10,118.7,0,00000001,5,20251009
cu2511C64000,0,0,5,SHFE,152505,152505,20251009,0,cu_o,0,0,5,21910,0,00000001,2.5,20251009
cu2511C65000,0,0,5,SHFE,147505,147505,20251009,0,cu_o,0,0,5,20910,0,00000001,2.5,20251009
cu2511C66000,0,0,5,SHFE,142505,142505,20251009,0,cu_o,0,0,5,19910,0,00000001,2.5,20251009
cu2511C67000,0,0,5,SHFE,137505,137505,20251009,0,cu_o,0,0,5,18910,0,00000001,2.5,20251009
cu2511C68000,0,0,5,SHFE,132505,132505,20251009,0,cu_o,0,0,5,17910,0,00000001,2.5,20251009
cu2511C69000,0,0,5,SHFE,127505,127505,20251009,0,cu_o,0,0,5,16910,0,00000001,2.5,20251009
cu2511C70000,0,0,5,SHFE,122505,122505,20251009,0,cu_o,0,0,5,15910,0,00000001,2.5,20251009
cu2511C71000,0,0,5,SHFE,117505,117505,20251009,0,cu_o,0,0,5,14910,0,00000001,2.5,20251009
cu2511C72000,0,0,5,SHFE,112505,112505,20251009,0,cu_o,0,0,5,13910,0,00000001,2.5,20251009
cu2511C73000,0,0,5,SHFE,107505,107505,20251009,0,cu_o,0,0,5,12910,0,00000001,2.5,20251009
cu2511C74000,0,0,5,SHFE,102505,102505,20251009,0,cu_o,0,0,5,11910,0,00000001,2.5,20251009
cu2511C75000,0,0,5,SHFE,97515,97515,20251009,0,cu_o,0,0,5,10912,0,00000001,2.5,20251009
cu2511C76000,0,0,5,SHFE,92555,92555,20251009,0,cu_o,0,0,5,9920,0,00000001,2.5,20251009
cu2511C77000,0,0,5,SHFE,87625,87625,20251009,0,cu_o,0,0,5,8934,0,00000001,2.5,20251009
cu2511C78000,0,0,5,SHFE,82745,82745,20251009,0,cu_o,0,0,5,7958,0,00000001,2.5,20251009
cu2511C79000,0,0,5,SHFE,77975,77975,20251009,0,cu_o,0,0,5,7004,0,00000001,2.5,20251009
cu2511C80000,0,0,5,SHFE,73345,73345,20251009,0,cu_o,0,0,5,6078,0,00000001,2.5,20251009
cu2511C82000,0,0,5,SHFE,64735,64735,20251009,0,cu_o,0,0,5,4356,0,00000001,2.5,20251009
cu2511C84000,0,0,5,SHFE,57375,57375,20251009,0,cu_o,0,0,5,2884,0,00000001,2.5,20251009
cu2511C86000,0,0,5,SHFE,51460,51460,20251009,0,cu_o,0,0,5,1746,0,00000001,2.5,20251009
cu2511C88000,0,0,5,SHFE,42510,42510,20251009,0,cu_o,0,0,5,956,0,00000001,2.5,20251009
cu2511C90000,0,0,5,SHFE,35080,35080,20251009,0,cu_o,0,0,5,470,0,00000001,2.5,20251009
cu2511C92000,0,0,5,SHFE,28760,28760,20251009,0,cu_o,0,0,5,206,0,00000001,2.5,20251009
cu2511C94000,0,0,5,SHFE,23130,23130,20251009,0,cu_o,0,0,5,80,0,00000001,2.5,20251009
cu2511C96000,0,0,5,SHFE,21617.5,21617.5,20251009,0,cu_o,0,0,5,28,0,00000001,2.5,20251009
cu2511P64000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P65000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P66000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P67000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P68000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P69000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P70000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P71000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P72000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P73000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P74000,0,0,5,SHFE,21487.5,21487.5,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2511P75000,0,0,5,SHFE,21507.5,21507.5,20251009,0,cu_o,0,0,5,6,0,00000001,2.5,20251009
cu2511P76000,0,0,5,SHFE,21537.5,21537.5,20251009,0,cu_o,0,0,5,12,0,00000001,2.5,20251009
cu2511P77000,0,0,5,SHFE,21607.5,21607.5,20251009,0,cu_o,0,0,5,26,0,00000001,2.5,20251009
cu2511P78000,0,0,5,SHFE,23440,23440,20251009,0,cu_o,0,0,5,52,0,00000001,2.5,20251009
cu2511P79000,0,0,5,SHFE,26170,26170,20251009,0,cu_o,0,0,5,98,0,00000001,2.5,20251009
cu2511P80000,0,0,5,SHFE,29040,29040,20251009,0,cu_o,0,0,5,172,0,00000001,2.5,20251009
cu2511P82000,0,0,5,SHFE,35420,35420,20251009,0,cu_o,0,0,5,448,0,00000001,2.5,20251009
cu2511P84000,0,0,5,SHFE,43060,43060,20251009,0,cu_o,0,0,5,976,0,00000001,2.5,20251009
cu2511P86000,0,0,5,SHFE,52135,52135,20251009,0,cu_o,0,0,5,1836,0,00000001,2.5,20251009
cu2511P88000,0,0,5,SHFE,58185,58185,20251009,0,cu_o,0,0,5,3046,0,00000001,2.5,20251009
cu2511P90000,0,0,5,SHFE,65745,65745,20251009,0,cu_o,0,0,5,4558,0,00000001,2.5,20251009
cu2511P92000,0,0,5,SHFE,74415,74415,20251009,0,cu_o,0,0,5,6292,0,00000001,2.5,20251009
cu2511P94000,0,0,5,SHFE,83785,83785,20251009,0,cu_o,0,0,5,8166,0,00000001,2.5,20251009
cu2511P96000,0,0,5,SHFE,93525,93525,20251009,0,cu_o,0,0,5,10114,0,00000001,2.5,20251009
cu2512C62000,0,0,5,SHFE,158373,154076,20251009,0,cu_o,0,0,5,23940,0,00000001,2.5,20251009
cu2512C63000,0,0,5,SHFE,153373,149076,20251009,0,cu_o,0,0,5,22940,0,00000001,2.5,20251009
cu2512C64000,0,0,5,SHFE,148373,144076,20251009,0,cu_o,0,0,5,21940,0,00000001,2.5,20251009
cu2512C65000,0,0,5,SHFE,143373,139076,20251009,0,cu_o,0,0,5,20940,0,00000001,2.5,20251009
cu2512C66000,0,0,5,SHFE,138373,134076,20251009,0,cu_o,0,0,5,19940,0,00000001,2.5,20251009
cu2512C67000,0,0,5,SHFE,133373,129076,20251009,0,cu_o,0,0,5,18940,0,00000001,2.5,20251009
cu2512C68000,0,0,5,SHFE,128373,124076,20251009,0,cu_o,0,0,5,17940,0,00000001,2.5,20251009
cu2512C69000,0,0,5,SHFE,123373,119076,20251009,0,cu_o,0,0,5,16940,0,00000001,2.5,20251009
cu2512C70000,0,0,5,SHFE,118373,114076,20251009,0,cu_o,0,0,5,15940,0,00000001,2.5,20251009
cu2512C71000,0,0,5,SHFE,113403,109106,20251009,0,cu_o,0,0,5,14946,0,00000001,2.5,20251009
cu2512C72000,0,0,5,SHFE,108453,104156,20251009,0,cu_o,0,0,5,13956,0,00000001,2.5,20251009
cu2512C73000,0,0,5,SHFE,103543,99246,20251009,0,cu_o,0,0,5,12974,0,00000001,2.5,20251009
cu2512C74000,0,0,5,SHFE,98673,94376,20251009,0,cu_o,0,0,5,12000,0,00000001,2.5,20251009
cu2512C75000,0,0,5,SHFE,93863,89566,20251009,0,cu_o,0,0,5,11038,0,00000001,2.5,20251009
cu2512C76000,0,0,5,SHFE,89143,84846,20251009,0,cu_o,0,0,5,10094,0,00000001,2.5,20251009
cu2512C77000,0,0,5,SHFE,84543,80246,20251009,0,cu_o,0,0,5,9174,0,00000001,2.5,20251009
cu2512C78000,0,0,5,SHFE,80063,75766,20251009,0,cu_o,0,0,5,8278,0,00000001,2.5,20251009
cu2512C79000,0,0,5,SHFE,75753,71456,20251009,0,cu_o,0,0,5,7416,0,00000001,2.5,20251009
cu2512C80000,0,0,5,SHFE,71623,67326,20251009,0,cu_o,0,0,5,6590,0,00000001,2.5,20251009
cu2512C82000,0,0,5,SHFE,64033,59736,20251009,0,cu_o,0,0,5,5072,0,00000001,2.5,20251009
cu2512C84000,0,0,5,SHFE,57483,53186,20251009,0,cu_o,0,0,5,3762,0,00000001,2.5,20251009
cu2512C86000,0,0,5,SHFE,51953,47656,20251009,0,cu_o,0,0,5,2686,0,00000001,2.5,20251009
cu2512C88000,0,0,5,SHFE,42733,38436,20251009,0,cu_o,0,0,5,1842,0,00000001,2.5,20251009
cu2512C90000,0,0,5,SHFE,34573,30276,20251009,0,cu_o,0,0,5,1210,0,00000001,2.5,20251009
cu2512C92000,0,0,5,SHFE,27333,23036,20251009,0,cu_o,0,0,5,762,0,00000001,2.5,20251009
cu2512C94000,0,0,5,SHFE,21626.5,19478,20251009,0,cu_o,0,0,5,458,0,00000001,2.5,20251009
cu2512C96000,0,0,5,SHFE,20666.5,18518,20251009,0,cu_o,0,0,5,266,0,00000001,2.5,20251009
cu2512P62000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P63000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P64000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P65000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P66000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P67000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P68000,0,0,5,SHFE,19346.5,17198,20251009,0,cu_o,0,0,5,2,0,00000001,2.5,20251009
cu2512P69000,0,0,5,SHFE,19356.5,17208,20251009,0,cu_o,0,0,5,4,0,00000001,2.5,20251009
cu2512P70000,0,0,5,SHFE,19376.5,17228,20251009,0,cu_o,0,0,5,8,0,00000001,2.5,20251009
cu2512P71000,0,0,5,SHFE,19416.5,17268,20251009,0,cu_o,0,0,5,16,0,00000001,2.5,20251009
cu2512P72000,0,0,5,SHFE,19466.5,17318,20251009,0,cu_o,0,0,5,26,0,00000001,2.5,20251009
cu2512P73000,0,0,5,SHFE,19556.5,17408,20251009,0,cu_o,0,0,5,44,0,00000001,2.5,20251009
cu2512P74000,0,0,5,SHFE,19696.5,17548,20251009,0,cu_o,0,0,5,72,0,00000001,2.5,20251009
cu2512P75000,0,0,5,SHFE,19886.5,17738,20251009,0,cu_o,0,0,5,110,0,00000001,2.5,20251009
cu2512P76000,0,0,5,SHFE,20166.5,18018,20251009,0,cu_o,0,0,5,166,0,00000001,2.5,20251009
cu2512P77000,0,0,5,SHFE,20556.5,18408,20251009,0,cu_o,0,0,5,244,0,00000001,2.5,20251009
cu2512P78000,0,0,5,SHFE,21076.5,18928,20251009,0,cu_o,0,0,5,348,0,00000001,2.5,20251009
cu2512P79000,0,0,5,SHFE,23743,19608,20251009,0,cu_o,0,0,5,484,0,00000001,2.5,20251009
cu2512P80000,0,0,5,SHFE,27113,22816,20251009,0,cu_o,0,0,5,658,0,00000001,2.5,20251009
cu2512P82000,0,0,5,SHFE,34513,30216,20251009,0,cu_o,0,0,5,1138,0,00000001,2.5,20251009
cu2512P84000,0,0,5,SHFE,42953,38656,20251009,0,cu_o,0,0,5,1826,0,00000001,2.5,20251009
cu2512P86000,0,0,5,SHFE,52403,48106,20251009,0,cu_o,0,0,5,2746,0,00000001,2.5,20251009
cu2512P88000,0,0,5,SHFE,58163,53866,20251009,0,cu_o,0,0,5,3898,0,00000001,2.5,20251009
cu2512P90000,0,0,5,SHFE,64993,60696,20251009,0,cu_o,0,0,5,5264,0,00000001,2.5,20251009
cu2512P92000,0,0,5,SHFE,72733,68436,20251009,0,cu_o,0,0,5,6812,0,00000001,2.5,20251009
cu2512P94000,0,0,5,SHFE,81213,76916,20251009,0,cu_o,0,0,5,8508,0,00000001,2.5,20251009
cu2512P96000,0,0,5,SHFE,90243,85946,20251009,0,cu_o,0,0,5,10314,0,00000001,2.5,20251009
cu2601C64000,0,0,5,SHFE,148155,143860,20251009,0,cu_o,0,0,5,21900,0,00000001,2.5,20251009
cu2601C65000,0,0,5,SHFE,143155,138860,20251009,0,cu_o,0,0,5,20900,0,00000001,2.5,20251009
cu2601C66000,0,0,5,SHFE,138155,133860,20251009,0,cu_o,0,0,5,19900,0,00000001,2.5,20251009
