INSTRUMENTID,PARTICIPANTID3,PARTICIPANTID2,PARTICIPANTID1,PARTICIPANTABBR3,PARTICIPANTABBR2,RANK,PARTICIPANTABBR1,CJ2,CJ1,CJ1_CHG,CJ3_CHG,PRODUCTNAME,CJ3,CJ2_CHG,trade_date
cu2601,0333      ,0268      ,0059      ,盛达期货  ,中信建投  ,16,瑞达期货  ,1241,1022,708,4,铜,1214,15,20251009
cu2601,0125      ,0031      ,0338      ,物产中大  ,中航期货  ,17,广州期货  ,1144,1022,924,218,铜,1199,-2,20251009
cu2601,0088      ,0082      ,0295      ,东亚期货  ,国投期货  ,18,正信期货  ,998,1019,704,715,铜,1150,30,20251009
cu2601,0123      ,0163      ,0034      ,浙商期货  ,东证期货  ,19,方正中期  ,987,996,568,148,铜,1136,-170,20251009
cu2601,0081      ,0088      ,0096      ,海通期货  ,东亚期货  ,20,南华期货  ,956,941,171,157,铜,1099,-878,20251009
cu2601,,,,,,999,,39755,50923,24380,3111,铜,41163,3328,20251009
cu2602,0148      ,0034      ,0148      ,中信期货  ,方正中期  ,1,中信期货  ,3802,3326,2221,-1547,铜,6004,334,20251009
cu2602,0049      ,0004      ,0163      ,金瑞期货  ,国泰君安  ,2,东证期货  ,2940,2304,1237,29,铜,2278,-1,20251009
cu2602,0042      ,0323      ,0088      ,光大期货  ,东吴期货  ,3,东亚期货  ,2368,1578,449,41,铜,1936,13,20251009
cu2602,0163      ,0272      ,0253      ,东证期货  ,银河期货  ,4,华泰期货  ,2179,1217,751,191,铜,1751,-5,20251009
cu2602,0253      ,0049      ,0240      ,华泰期货  ,金瑞期货  ,5,广发期货  ,1588,730,326,196,铜,1571,-195,20251009
cu2602,0272      ,0088      ,0275      ,银河期货  ,东亚期货  ,6,中泰期货  ,1322,656,528,21,铜,1401,624,20251009
cu2602,0157      ,0031      ,0259      ,中国国际  ,中航期货  ,7,华闻期货  ,1258,466,203,3,铜,1383,0,20251009
cu2602,0323      ,0069      ,0342      ,东吴期货  ,申万期货  ,8,津投期货  ,1005,458,294,23,铜,1086,3,20251009
cu2602,0169      ,0096      ,0081      ,兴业期货  ,南华期货  ,9,海通期货  ,724,455,229,-28,铜,1008,-13,20251009
cu2602,0088      ,0148      ,0034      ,东亚期货  ,中信期货  ,10,方正中期  ,685,414,404,342,铜,1001,-1,20251009
cu2602,0058      ,0003      ,0306      ,国贸期货  ,建信期货  ,11,红塔期货  ,674,400,400,183,铜,977,-11,20251009
cu2602,0004      ,0338      ,0308      ,国泰君安  ,广州期货  ,12,国信期货  ,661,382,-193,28,铜,905,1,20251009
cu2602,0306      ,0253      ,0049      ,红塔期货  ,华泰期货  ,13,金瑞期货  ,618,366,207,400,铜,600,13,20251009
cu2602,0103      ,0163      ,0018      ,永安期货  ,东证期货  ,14,国联期货  ,586,346,170,105,铜,523,83,20251009
cu2602,0123      ,0178      ,0009      ,浙商期货  ,弘业期货  ,15,五矿期货  ,564,327,222,32,铜,505,-45,20251009
cu2602,0288      ,0268      ,0272      ,平安期货  ,中信建投  ,16,银河期货  ,564,296,-37,238,铜,450,17,20251009
cu2602,0240      ,0048      ,0019      ,广发期货  ,长江期货  ,17,宝城期货  ,476,272,235,88,铜,340,0,20251009
cu2602,0096      ,0019      ,0059      ,南华期货  ,宝城期货  ,18,瑞达期货  ,465,271,250,152,铜,306,-202,20251009
cu2602,0009      ,0081      ,0288      ,五矿期货  ,海通期货  ,19,平安期货  ,430,262,160,214,铜,236,12,20251009
cu2602,0186      ,0277      ,0004      ,徽商期货  ,一德期货  ,20,国泰君安  ,398,241,-279,0,铜,213,9,20251009
cu2602,,,,,,999,,23307,14767,7777,711,铜,24474,636,20251009
cu2603,0148      ,0025      ,0163      ,中信期货  ,铜冠金源  ,1,东证期货  ,4059,1558,836,8,铜,8233,0,20251009
cu2603,0049      ,0004      ,0253      ,金瑞期货  ,国泰君安  ,2,华泰期货  ,1731,1025,684,31,铜,2499,-103,20251009
cu2603,0253      ,0069      ,0088      ,华泰期货  ,申万期货  ,3,东亚期货  ,1557,697,42,50,铜,2221,-34,20251009
cu2603,0169      ,0088      ,0148      ,兴业期货  ,东亚期货  ,4,中信期货  ,1389,692,-207,-13,铜,1710,135,20251009
cu2603,0239      ,0049      ,0308      ,乾坤期货  ,金瑞期货  ,5,国信期货  ,1297,540,-57,0,铜,1122,-14,20251009
cu2603,0058      ,0148      ,0272      ,国贸期货  ,中信期货  ,6,银河期货  ,1274,445,30,0,铜,1075,52,20251009
cu2603,0323      ,0323      ,0123      ,东吴期货  ,东吴期货  ,7,浙商期货  ,1253,403,-91,1,铜,1047,49,20251009
cu2603,0004      ,0058      ,0081      ,国泰君安  ,国贸期货  ,8,海通期货  ,1073,402,210,10,铜,990,186,20251009
cu2603,0123      ,0067      ,0069      ,浙商期货  ,中财期货  ,9,申万期货  ,1069,370,-659,188,铜,708,-1,20251009
cu2603,0025      ,0272      ,0259      ,铜冠金源  ,银河期货  ,10,华闻期货  ,986,312,5,-35,铜,531,158,20251009
cu2603,0086      ,0003      ,0275      ,东航期货  ,建信期货  ,11,中泰期货  ,685,312,161,8,铜,519,20,20251009
cu2603,0042      ,0031      ,0240      ,光大期货  ,中航期货  ,12,广发期货  ,523,287,-328,84,铜,344,0,20251009
cu2603,0088      ,0253      ,0004      ,东亚期货  ,华泰期货  ,13,国泰君安  ,476,255,-486,50,铜,331,55,20251009
cu2603,0274      ,0163      ,0059      ,中辉期货  ,东证期货  ,14,瑞达期货  ,391,229,83,9,铜,323,-142,20251009
cu2603,0163      ,0034      ,0058      ,东证期货  ,方正中期  ,15,国贸期货  ,388,196,-649,130,铜,265,-9,20251009
cu2603,0008      ,0338      ,0049      ,上海中期  ,广州期货  ,16,金瑞期货  ,379,193,-110,20,铜,262,0,20251009
cu2603,0077      ,0339      ,0042      ,新湖期货  ,恒力期货  ,17,光大期货  ,360,171,-638,-16,铜,229,0,20251009
cu2603,0240      ,0103      ,0277      ,广发期货  ,永安期货  ,18,一德期货  ,345,149,96,100,铜,163,80,20251009
cu2603,0052      ,0096      ,0096      ,山金期货  ,南华期货  ,19,南华期货  ,344,144,2,0,铜,103,-32,20251009
cu2603,0288      ,0268      ,0008      ,平安期货  ,中信建投  ,20,上海中期  ,280,120,13,0,铜,99,10,20251009
cu2603,,,,,,999,,19859,8500,-1063,625,铜,22774,410,20251009
alall,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,期货公司会员/境外特殊经纪参与者,-1,期货公司会员/境外特殊经纪参与者,500502,679822,253551,37220,铝,482140,38408,20251009
alall,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,非期货公司会员/境外特殊非经纪参与者,0,非期货公司会员/境外特殊非经纪参与者,0,3212,3133,1188,铝,18362,0,20251009
al2510,0163      ,0004      ,0163      ,东证期货  ,国泰君安  ,1,东证期货  ,2880,6775,-143,-190,铝,1835,-650,20251009
al2510,0049      ,0275      ,0272      ,金瑞期货  ,中泰期货  ,2,银河期货  ,2585,4345,3214,-100,铝,1510,-140,20251009
al2510,0148      ,0139      ,0004      ,中信期货  ,中粮期货  ,3,国泰君安  ,1240,2315,167,-350,铝,1465,-1195,20251009
al2510,0275      ,0299      ,0139      ,中泰期货  ,华安期货  ,4,中粮期货  ,950,1725,547,-225,铝,1440,0,20251009
al2510,0019      ,0148      ,0148      ,宝城期货  ,中信期货  ,5,中信期货  ,900,1395,-706,-325,铝,800,-1025,20251009
al2510,0268      ,0268      ,0058      ,中信建投  ,中信建投  ,6,国贸期货  ,730,1295,940,0,铝,670,-260,20251009
al2510,0006      ,0034      ,0019      ,华鑫期货  ,方正中期  ,7,宝城期货  ,640,1110,758,555,铝,635,-400,20251009
al2510,0139      ,0082      ,0238      ,中粮期货  ,国投期货  ,8,安粮期货  ,575,920,609,290,铝,530,-60,20251009
al2510,0077      ,0254      ,0034      ,新湖期货  ,冠通期货  ,9,方正中期  ,460,895,-1330,-100,铝,445,0,20251009
al2510,0004      ,0003      ,0096      ,国泰君安  ,建信期货  ,10,南华期货  ,355,800,398,-1255,铝,390,95,20251009
al2510,0315      ,0163      ,0048      ,云晨期货  ,东证期货  ,11,长江期货  ,345,680,578,0,铝,300,-135,20251009
al2510,0034      ,0272      ,0049      ,方正中期  ,银河期货  ,12,金瑞期货  ,345,600,2,225,铝,235,-460,20251009
al2510,0048      ,0049      ,0268      ,长江期货  ,金瑞期货  ,13,中信建投  ,325,580,429,100,铝,220,-300,20251009
al2510,0299      ,0338      ,0275      ,华安期货  ,广州期货  ,14,中泰期货  ,325,565,-1305,0,铝,185,-20,20251009
al2510,0058      ,0077      ,0006      ,国贸期货  ,新湖期货  ,15,华鑫期货  ,305,555,-45,-825,铝,165,0,20251009
al2510,0137      ,0136      ,0253      ,宏源期货  ,信达期货  ,16,华泰期货  ,305,515,-502,0,铝,160,-40,20251009
al2510,0272      ,0047      ,0042      ,银河期货  ,迈科期货  ,17,光大期货  ,235,360,134,-2015,铝,135,-150,20251009
al2510,0338      ,0177      ,0123      ,广州期货  ,大地期货  ,18,浙商期货  ,210,355,-1115,0,铝,130,0,20251009
al2510,0072      ,0103      ,0018      ,瑞奇期货  ,永安期货  ,19,国联期货  ,170,350,194,0,铝,120,-20,20251009
al2510,0031      ,0277      ,0003      ,中航期货  ,一德期货  ,20,建信期货  ,170,345,-534,20,铝,95,-5,20251009
al2510,,,,,,999,,14050,26480,2290,-4195,铝,11465,-4765,20251009
al2511,0004      ,0148      ,0004      ,国泰君安  ,中信期货  ,1,国泰君安  ,21533,47150,-5035,-838,铝,17579,2196,20251009
al2511,0123      ,0004      ,0148      ,浙商期货  ,国泰君安  ,2,中信期货  ,17709,37798,5311,935,铝,15713,5750,20251009
al2511,0148      ,0163      ,0163      ,中信期货  ,东证期货  ,3,东证期货  ,17559,33226,7722,-924,铝,15112,4357,20251009
al2511,0034      ,0272      ,0253      ,方正中期  ,银河期货  ,4,华泰期货  ,9997,17317,5940,356,铝,10119,1212,20251009
al2511,0253      ,0253      ,0081      ,华泰期货  ,华泰期货  ,5,海通期货  ,6383,15469,10322,-412,铝,8695,2233,20251009
al2511,0275      ,0082      ,0123      ,中泰期货  ,国投期货  ,6,浙商期货  ,5802,10779,852,-1569,铝,7181,-340,20251009
al2511,0029      ,0139      ,0272      ,国海良时  ,中粮期货  ,7,银河期货  ,4955,10765,4366,0,铝,7140,952,20251009
al2511,0268      ,0323      ,0275      ,中信建投  ,东吴期货  ,8,中泰期货  ,4664,7312,-2123,1262,铝,6772,-1221,20251009
al2511,0272      ,0069      ,0259      ,银河期货  ,申万期货  ,9,华闻期货  ,4548,7210,170,615,铝,6221,-762,20251009
al2511,0018      ,0103      ,0268      ,国联期货  ,永安期货  ,10,中信建投  ,4519,6869,4121,998,铝,5122,-135,20251009
al2511,0003      ,0240      ,0077      ,建信期货  ,广发期货  ,11,新湖期货  ,4248,6262,1677,797,铝,5107,-1144,20251009
al2511,0240      ,0239      ,0240      ,广发期货  ,乾坤期货  ,12,广发期货  ,4112,5731,1831,781,铝,4892,-46,20251009
al2511,0103      ,0275      ,0161      ,永安期货  ,中泰期货  ,13,招商期货  ,4073,5016,2331,-73,铝,4747,-162,20251009
al2511,0249      ,0049      ,0323      ,先融期货  ,金瑞期货  ,14,东吴期货  ,4028,4963,2728,207,铝,4141,-592,20251009
al2511,0163      ,0335      ,0019      ,东证期货  ,中金财富  ,15,宝城期货  ,3554,4406,2577,391,铝,3997,-71,20251009
al2511,0077      ,0123      ,0069      ,新湖期货  ,浙商期货  ,16,申万期货  ,3550,3946,530,1110,铝,3302,-789,20251009
al2511,0161      ,0034      ,0274      ,招商期货  ,方正中期  ,17,中辉期货  ,2979,3925,910,1328,铝,3284,-834,20251009
al2511,0058      ,0088      ,0049      ,国贸期货  ,东亚期货  ,18,金瑞期货  ,2966,3776,1712,1268,铝,3138,-34,20251009
al2511,0008      ,0081      ,0018      ,上海中期  ,海通期货  ,19,国联期货  ,2817,3753,2022,-79,铝,3046,1231,20251009
al2511,0002      ,0008      ,0034      ,华宝期货  ,上海中期  ,20,方正中期  ,2635,3494,977,1,铝,3044,-29,20251009
al2511,,,,,,999,,132631,239167,48941,6154,铝,138352,11772,20251009
al2512,0123      ,0148      ,0148      ,浙商期货  ,中信期货  ,1,中信期货  ,33653,29548,14382,3979,铝,22568,6122,20251009
al2512,0004      ,0239      ,0004      ,国泰君安  ,乾坤期货  ,2,国泰君安  ,16867,28476,10369,51,铝,11359,493,20251009
al2512,0148      ,0163      ,0163      ,中信期货  ,东证期货  ,3,东证期货  ,15201,21434,9650,1364,铝,9785,3183,20251009
al2512,0018      ,0004      ,0253      ,国联期货  ,国泰君安  ,4,华泰期货  ,10985,14010,7733,205,铝,8396,2001,20251009
al2512,0272      ,0268      ,0081      ,银河期货  ,中信建投  ,5,海通期货  ,6786,13856,8834,3078,铝,8357,-1302,20251009
al2512,0003      ,0272      ,0272      ,建信期货  ,银河期货  ,6,银河期货  ,6529,6424,2869,232,铝,7325,2140,20251009
al2512,0058      ,0123      ,0123      ,国贸期货  ,浙商期货  ,7,浙商期货  ,6215,6170,127,-60,铝,6783,925,20251009
al2512,0096      ,0372      ,0239      ,南华期货  ,中银期货  ,8,乾坤期货  ,5225,5742,2615,1,铝,6184,-857,20251009
al2512,0163      ,0103      ,0268      ,东证期货  ,永安期货  ,9,中信建投  ,3923,5594,4305,-1509,铝,6074,299,20251009
al2512,0275      ,0084      ,0069      ,中泰期货  ,瑞银期货  ,10,申万期货  ,3806,5398,2755,1228,铝,5190,162,20251009
al2512,0034      ,0069      ,0077      ,方正中期  ,申万期货  ,11,新湖期货  ,3435,5170,1837,455,铝,4635,145,20251009
al2512,0268      ,0034      ,0308      ,中信建投  ,方正中期  ,12,国信期货  ,2986,4410,3364,2694,铝,4512,96,20251009
al2512,0139      ,0082      ,0275      ,中粮期货  ,国投期货  ,13,中泰期货  ,2669,3545,705,-88,铝,4177,559,20251009
al2512,0042      ,0049      ,0323      ,光大期货  ,金瑞期货  ,14,东吴期货  ,2606,2996,2108,767,铝,3694,182,20251009
al2512,0253      ,0253      ,0342      ,华泰期货  ,华泰期货  ,15,津投期货  ,2596,2968,2642,1320,铝,3667,1054,20251009
al2512,0103      ,0007      ,0240      ,永安期货  ,东海期货  ,16,广发期货  ,2527,2925,1292,875,铝,3624,14,20251009
al2512,0240      ,0139      ,0274      ,广发期货  ,中粮期货  ,17,中辉期货  ,2423,2870,379,1069,铝,3618,7,20251009
al2512,0002      ,0178      ,0259      ,华宝期货  ,弘业期货  ,18,华闻期货  ,2244,2423,170,-1,铝,3540,1010,20251009
al2512,0249      ,0042      ,0372      ,先融期货  ,光大期货  ,19,中银期货  ,2233,2119,1881,1000,铝,3500,394,20251009
al2512,0008      ,0240      ,0103      ,上海中期  ,广发期货  ,20,永安期货  ,2147,2014,1088,317,铝,2983,602,20251009
al2512,,,,,,999,,135056,168092,79105,16977,铝,129971,17229,20251009
al2601,0069      ,0372      ,0148      ,申万期货  ,中银期货  ,1,中信期货  ,7046,12654,8641,396,铝,7985,300,20251009
al2601,0004      ,0004      ,0004      ,国泰君安  ,国泰君安  ,2,国泰君安  ,5788,10848,6679,-22,铝,7075,1256,20251009
al2601,0148      ,0148      ,0253      ,中信期货  ,中信期货  ,3,华泰期货  ,5680,8004,5902,1295,铝,6753,1877,20251009
al2601,0003      ,0272      ,0163      ,建信期货  ,银河期货  ,4,东证期货  ,3154,6175,3462,34,铝,4444,21,20251009
al2601,0123      ,0163      ,0077      ,浙商期货  ,东证期货  ,5,新湖期货  ,3123,3777,2340,300,铝,2613,510,20251009
al2601,0275      ,0069      ,0069      ,中泰期货  ,申万期货  ,6,申万期货  ,2731,3427,2295,209,铝,2451,-9,20251009
al2601,0163      ,0042      ,0272      ,东证期货  ,光大期货  ,7,银河期货  ,2646,3198,3092,297,铝,1822,56,20251009
al2601,0272      ,0268      ,0081      ,银河期货  ,中信建投  ,8,海通期货  ,2374,2843,2210,-2597,铝,1786,-432,20251009
al2601,0136      ,0323      ,0274      ,信达期货  ,东吴期货  ,9,中辉期货  ,2168,1730,1009,184,铝,1707,-337,20251009
al2601,0268      ,0239      ,0323      ,中信建投  ,乾坤期货  ,10,东吴期货  ,1930,1588,991,320,铝,1514,0,20251009
