INSTRUMENTID,TRADEFEERATIO,TTRADEFEERATIO,COMMODITYDELIVFEEUNIT,SPECLONGMARGINRATIO,HEDGLONGMARGINRATIO,COMMODITYDELIVFEERATIO,PRODUCTID,PRODUCTNAME,TTRADEFEEUNIT,TRADEFEEUNIT,HEDGSHORTMARGINRATIO,SETTLEMENTPRICE,UNIDIRECT,SPECSHORTMARGINRATIO,ISUNITODAY,trade_date
al2606,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21035,1,0.09,0,20251009
al2607,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21070,1,0.09,0,20251009
al2608,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21060,1,0.09,0,20251009
al2609,0,0,0,0.09,0.08,0,al_f,铝,1.5,3,0.08,21060,1,0.09,0,20251009
zn2510,0,0,0,0.15,0.15,0,zn_f,锌,1.5,3,0.15,22165,1,0.15,0,20251009
zn2511,0,0,0,0.1,0.1,0,zn_f,锌,1.5,3,0.1,22200,1,0.1,0,20251009
zn2512,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22230,1,0.09,0,20251009
zn2601,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22240,1,0.09,0,20251009
zn2602,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22290,1,0.09,0,20251009
zn2603,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22340,1,0.09,0,20251009
zn2604,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22375,1,0.09,0,20251009
zn2605,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22415,1,0.09,0,20251009
zn2606,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22425,1,0.09,0,20251009
zn2607,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22460,1,0.09,0,20251009
zn2608,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22435,1,0.09,0,20251009
zn2609,0,0,0,0.09,0.08,0,zn_f,锌,1.5,3,0.08,22475,1,0.09,0,20251009
pb2510,0.04,0.02,0,0.15,0.15,0,pb_f,铅,0,0,0.15,17025,1,0.15,0,20251009
pb2511,0.04,0.02,0,0.1,0.1,0,pb_f,铅,0,0,0.1,17040,1,0.1,0,20251009
pb2512,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17075,1,0.09,0,20251009
pb2601,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17095,1,0.09,0,20251009
pb2602,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,16990,1,0.09,0,20251009
pb2603,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17205,1,0.09,0,20251009
pb2604,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17170,1,0.09,0,20251009
pb2605,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17195,1,0.09,0,20251009
pb2606,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17165,1,0.09,0,20251009
pb2607,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17020,1,0.09,0,20251009
pb2608,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17255,1,0.09,0,20251009
pb2609,0.04,0.02,0,0.09,0.08,0,pb_f,铅,0,0,0.08,17285,1,0.09,0,20251009
ni2510,0,0,0,0.15,0.15,0,ni_f,镍,1.5,3,0.15,122090,1,0.15,0,20251009
ni2511,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123120,1,0.12,0,20251009
ni2512,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123310,1,0.12,0,20251009
ni2601,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123530,1,0.12,0,20251009
ni2602,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,123470,1,0.12,0,20251009
ni2603,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,124010,1,0.12,0,20251009
ni2604,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,124320,1,0.12,0,20251009
ni2605,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,124550,1,0.12,0,20251009
ni2606,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,124900,1,0.12,0,20251009
ni2607,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,124850,1,0.12,0,20251009
ni2608,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,125590,1,0.12,0,20251009
ni2609,0,0,0,0.12,0.11,0,ni_f,镍,1.5,3,0.11,125660,1,0.12,0,20251009
sn2510,0,0,0,0.15,0.15,0,sn_f,锡,1.5,3,0.15,284870,1,0.15,0,20251009
sn2511,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285070,1,0.12,0,20251009
sn2512,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285420,1,0.12,0,20251009
sn2601,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285490,1,0.12,0,20251009
sn2602,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285460,1,0.12,0,20251009
sn2603,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285280,1,0.12,0,20251009
sn2604,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,284800,1,0.12,0,20251009
sn2605,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285020,1,0.12,0,20251009
sn2606,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285390,1,0.12,0,20251009
sn2607,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,284640,1,0.12,0,20251009
sn2608,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,285520,1,0.12,0,20251009
sn2609,0,0,0,0.12,0.11,0,sn_f,锡,1.5,3,0.11,287820,1,0.12,0,20251009
ao2510,0.1,0.05,0,0.15,0.15,0,ao_f,氧化铝,0,0,0.15,2818,1,0.15,0,20251009
ao2511,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2844,1,0.11,0,20251009
ao2512,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2860,1,0.11,0,20251009
ao2601,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2871,1,0.11,0,20251009
ao2602,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2882,1,0.11,0,20251009
ao2603,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2949,1,0.11,0,20251009
ao2604,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2958,1,0.11,0,20251009
ao2605,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2965,1,0.11,0,20251009
ao2606,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2972,1,0.11,0,20251009
ao2607,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2978,1,0.11,0,20251009
ao2608,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,2987,1,0.11,0,20251009
ao2609,0.1,0.05,0,0.11,0.1,0,ao_f,氧化铝,0,0,0.1,3000,1,0.11,0,20251009
ad2511,0.1,0.05,0,0.1,0.1,0,ad_f,铸造铝合金,0,0,0.1,20485,1,0.1,0,20251009
ad2512,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20535,1,0.07,0,20251009
ad2601,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20610,1,0.07,0,20251009
ad2602,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20620,1,0.07,0,20251009
ad2603,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20325,1,0.07,0,20251009
ad2604,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20360,1,0.07,0,20251009
ad2605,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20550,1,0.07,0,20251009
ad2606,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20365,1,0.07,0,20251009
ad2607,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20510,1,0.07,0,20251009
ad2608,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20495,1,0.07,0,20251009
ad2609,0.1,0.05,0,0.07,0.06,0,ad_f,铸造铝合金,0,0,0.06,20335,1,0.07,0,20251009
au2510,0,0,0,0.15,0.15,0,au_f,黄金,10,20,0.15,912.68,1,0.15,0,20251009
au2511,0,0,0,0.14,0.13,0,au_f,黄金,10,20,0.13,912.92,1,0.14,0,20251009
au2512,0,0,0,0.14,0.13,0,au_f,黄金,10,20,0.13,912.96,1,0.14,0,20251009
au2602,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,915.62,1,0.14,0,20251009
au2604,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,917.54,1,0.14,0,20251009
au2606,0,0,0,0.14,0.13,0,au_f,黄金,10,20,0.13,918.92,1,0.14,0,20251009
au2608,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,921.98,1,0.14,0,20251009
au2610,0,0,0,0.14,0.13,0,au_f,黄金,5,10,0.13,924.9,1,0.14,0,20251009
ag2510,0.05,0.025,0,0.15,0.15,0,ag_f,白银,0,0,0.15,11193,1,0.15,0,20251009
ag2511,0.05,0.025,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11192,1,0.14,0,20251009
ag2512,0.05,0.025,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11209,1,0.14,0,20251009
ag2601,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11217,1,0.14,0,20251009
ag2602,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11235,1,0.14,0,20251009
ag2603,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11249,1,0.14,0,20251009
ag2604,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11256,1,0.14,0,20251009
ag2605,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11266,1,0.14,0,20251009
ag2606,0.05,0.025,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11255,1,0.14,0,20251009
ag2607,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11284,1,0.14,0,20251009
ag2608,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11293,1,0.14,0,20251009
ag2609,0.01,0.005,0,0.14,0.13,0,ag_f,白银,0,0,0.13,11305,1,0.14,0,20251009
rb2510,0.1,0.05,0,0.15,0.15,0,rb_f,螺纹钢,0,0,0.15,2998,1,0.15,0,20251009
rb2511,0.1,0.05,0,0.1,0.1,0,rb_f,螺纹钢,0,0,0.1,3019,1,0.1,0,20251009
rb2512,0.1,0.05,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3070,1,0.07,0,20251009
rb2601,0.1,0.05,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3087,1,0.07,0,20251009
rb2602,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3093,1,0.07,0,20251009
rb2603,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3109,1,0.07,0,20251009
rb2604,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3131,1,0.07,0,20251009
rb2605,0.1,0.05,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3145,1,0.07,0,20251009
rb2606,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3158,1,0.07,0,20251009
rb2607,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3175,1,0.07,0,20251009
rb2608,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3180,1,0.07,0,20251009
rb2609,0.02,0.01,0,0.07,0.06,0,rb_f,螺纹钢,0,0,0.06,3189,1,0.07,0,20251009
wr2510,0.04,0.02,0,0.15,0.15,0,wr_f,线材,0,0,0.15,3069,1,0.15,0,20251009
wr2511,0.04,0.02,0,0.1,0.1,0,wr_f,线材,0,0,0.1,3270,1,0.1,0,20251009
wr2512,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3309,1,0.09,0,20251009
wr2601,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3320,1,0.09,0,20251009
wr2602,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3301,1,0.09,0,20251009
wr2603,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3329,1,0.09,0,20251009
wr2604,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3339,1,0.09,0,20251009
wr2605,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3279,1,0.09,0,20251009
wr2606,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3356,1,0.09,0,20251009
wr2607,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3390,1,0.09,0,20251009
wr2608,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3431,1,0.09,0,20251009
wr2609,0.04,0.02,0,0.09,0.08,0,wr_f,线材,0,0,0.08,3430,1,0.09,0,20251009
hc2510,0.1,0.05,0,0.15,0.15,0,hc_f,热轧卷板,0,0,0.15,3352,1,0.15,0,20251009
hc2511,0.1,0.05,0,0.1,0.1,0,hc_f,热轧卷板,0,0,0.1,3306,1,0.1,0,20251009
hc2512,0.1,0.05,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3300,1,0.07,0,20251009
hc2601,0.1,0.05,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3273,1,0.07,0,20251009
hc2602,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3272,1,0.07,0,20251009
hc2603,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3281,1,0.07,0,20251009
hc2604,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3286,1,0.07,0,20251009
hc2605,0.1,0.05,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3281,1,0.07,0,20251009
hc2606,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3286,1,0.07,0,20251009
hc2607,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3294,1,0.07,0,20251009
hc2608,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3298,1,0.07,0,20251009
hc2609,0.02,0.01,0,0.07,0.06,0,hc_f,热轧卷板,0,0,0.06,3301,1,0.07,0,20251009
ss2510,0,0,0,0.15,0.15,0,ss_f,不锈钢,1,2,0.15,12600,1,0.15,0,20251009
ss2511,0,0,0,0.1,0.1,0,ss_f,不锈钢,1,2,0.1,12800,1,0.1,0,20251009
ss2512,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12820,1,0.07,0,20251009
ss2601,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12890,1,0.07,0,20251009
ss2602,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,12925,1,0.07,0,20251009
ss2603,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13050,1,0.07,0,20251009
ss2604,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13115,1,0.07,0,20251009
ss2605,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13195,1,0.07,0,20251009
ss2606,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13290,1,0.07,0,20251009
ss2607,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13320,1,0.07,0,20251009
ss2608,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13375,1,0.07,0,20251009
ss2609,0,0,0,0.07,0.06,0,ss_f,不锈钢,1,2,0.06,13410,1,0.07,0,20251009
sc2511,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,468.7,1,0.11,0,20251009
sc2512,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,471.4,1,0.11,0,20251009
sc2601,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,471.2,1,0.11,0,20251009
sc2602,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,470.2,1,0.11,0,20251009
sc2603,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,469.6,1,0.11,0,20251009
sc2604,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,469.6,1,0.11,0,20251009
sc2605,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,470.5,1,0.11,0,20251009
sc2606,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,468.9,1,0.11,0,20251009
sc2607,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,470.8,1,0.11,0,20251009
sc2608,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,469.5,1,0.11,0,20251009
sc2609,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,470.3,1,0.11,0,20251009
sc2610,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,471,1,0.11,0,20251009
sc2612,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,463.8,1,0.11,0,20251009
sc2703,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,472,1,0.11,0,20251009
sc2706,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,469.9,1,0.11,0,20251009
sc2709,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,469.4,1,0.11,0,20251009
sc2712,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,465.9,1,0.11,0,20251009
sc2803,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,458,1,0.11,0,20251009
sc2806,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,455.2,1,0.11,0,20251009
sc2809,0,0,0,0.11,0.1,0,sc_f,原油,10,20,0.1,458.2,1,0.11,0,20251009
lu2511,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3329,1,0.11,0,20251009
lu2512,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3342,1,0.11,0,20251009
lu2601,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3326,1,0.11,0,20251009
lu2602,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3318,1,0.11,0,20251009
lu2603,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3327,1,0.11,0,20251009
lu2604,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3300,1,0.11,0,20251009
lu2605,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3278,1,0.11,0,20251009
lu2606,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3289,1,0.11,0,20251009
lu2607,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3276,1,0.11,0,20251009
lu2608,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3271,1,0.11,0,20251009
lu2609,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3267,1,0.11,0,20251009
lu2610,0.01,0.005,0,0.11,0.1,0,lu_f,低硫燃料油,0,0,0.1,3267,1,0.11,0,20251009
fu2511,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2935,1,0.11,0,20251009
fu2512,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2851,1,0.11,0,20251009
fu2601,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2813,1,0.11,0,20251009
fu2602,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2786,1,0.11,0,20251009
fu2603,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2780,1,0.11,0,20251009
fu2604,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2773,1,0.11,0,20251009
fu2605,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2761,1,0.11,0,20251009
fu2606,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2752,1,0.11,0,20251009
fu2607,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2727,1,0.11,0,20251009
fu2608,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2702,1,0.11,0,20251009
fu2609,0.05,0.025,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2691,1,0.11,0,20251009
fu2610,0.01,0.005,0,0.11,0.1,0,fu_f,燃料油,0,0,0.1,2686,1,0.11,0,20251009
bu2510,0.05,0.025,0,0.15,0.15,0,bu_f,石油沥青,0,0,0.15,3470,1,0.15,0,20251009
bu2511,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3376,1,0.11,0,20251009
bu2512,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3327,1,0.11,0,20251009
bu2601,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3307,1,0.11,0,20251009
bu2602,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3314,1,0.11,0,20251009
bu2603,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3323,1,0.11,0,20251009
bu2604,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3319,1,0.11,0,20251009
bu2605,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3328,1,0.11,0,20251009
bu2606,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3328,1,0.11,0,20251009
bu2607,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3331,1,0.11,0,20251009
bu2608,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3356,1,0.11,0,20251009
bu2609,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3316,1,0.11,0,20251009
bu2612,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3270,1,0.11,0,20251009
bu2703,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3276,1,0.11,0,20251009
bu2706,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3282,1,0.11,0,20251009
bu2709,0.05,0.025,0,0.11,0.1,0,bu_f,石油沥青,0,0,0.1,3300,1,0.11,0,20251009
br2510,0.02,0.01,0,0.15,0.15,0,br_f,丁二烯橡胶,0,0,0.15,11310,1,0.15,0,20251009
br2511,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,11260,1,0.11,0,20251009
br2512,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,11235,1,0.11,0,20251009
br2601,0.02,0.01,0,0.11,0.1,0,br_f,丁二烯橡胶,0,0,0.1,11225,1,0.11,0,20251009
